County, FIPS,cancer_incidence_per_100000
"Putnam County, New York(6,10)",36079,511.8
"Wabash County, Illinois(6,10)",17185,511.8
"Mitchell County, Georgia(7,9)",13205,511.7
"Tazewell County, Illinois(6,10)",17179,511.5
"Leflore County, Mississippi(6,10)",28083,511.5
"Monroe County, Kentucky(7,9)",21171,511.5
"Salem City, Virginia(6,10)",51775,511.5
"Fallon County, Montana(6,10)",30025,511.4
"Warren County, New York(6,10)",36113,511.3
"Cumberland County, New Jersey(7,8)",34011,511.3
"Washington County, Indiana(6,10)",18175,511.2
"Spalding County, Georgia(7,9)",13255,511.1
"Montgomery County, New York(6,10)",36057,511
"Pierce County, Washington(7,8)",53053,510.9
"Marion County, West Virginia(6,10)",54049,510.9
"Chattahoochee County, Georgia(7,9)",13053,510.8
"Washington County, Illinois(6,10)",17189,510.8
"Chambers County, Alabama(6,10)",1017,510.7
"Hale County, Alabama(6,10)",1065,510.4
"Schuyler County, New York(6,10)",36097,510.4
"Marion County, Kentucky(7,9)",21155,510.2
"Montgomery County, Missouri(6,10)",29139,510
"Piatt County, Illinois(6,10)",17147,509.9
"Franklin County, Illinois(6,10)",17055,509.8
"Hickman County, Tennessee(6,10)",47081,509.6
"Peoria County, Illinois(6,10)",17143,509.6
"Roosevelt County, Montana(6,10)",30085,509.5
"Cameron Parish, Louisiana(7,9)",22023,509.4
"Butler County, Pennsylvania(6,10)",42019,509.4
"Lee County, Iowa(7,8)",19111,509.2
"Bartow County, Georgia(7,9)",13015,509
"Saratoga County, New York(6,10)",36091,508.7
"Kanawha County, West Virginia(6,10)",54039,508.7
"Butts County, Georgia(7,9)",13035,508.7
"Belknap County, New Hampshire(6,10)",33001,508.6
"Webster County, Kentucky(7,9)",21233,508.3
"Des Moines County, Iowa(7,8)",19057,508.3
"Chemung County, New York(6,10)",36015,508.2
"Hughes County, Oklahoma(6,10)",40063,508.2
"Caldwell County, Missouri(6,10)",29025,508.2
"Rowan County, North Carolina(6,10)",37159,508.1
"Nottoway County, Virginia(6,10)",51135,508
"Bienville Parish, Louisiana(7,9)",22013,508
"Hughes County, South Dakota(6,10)",46065,507.7
"Merrimack County, New Hampshire(6,10)",33013,507.6
"Judith Basin County, Montana(6,10)",30045,507.5
"Johnson County, Kentucky(7,9)",21115,507.4
"Pointe Coupee Parish, Louisiana(7,9)",22077,507.4
"Boise County, Idaho(6,10)",16015,507.4
"Scott County, Kentucky(7,9)",21209,507.3
"Penobscot County, Maine(6,10)",23019,507.3
"Niagara County, New York(6,10)",36063,507.2
"Lowndes County, Alabama(6,10)",1085,507.2
"Essex County, Massachusetts(6,10)",25009,507.1
"Mingo County, West Virginia(6,10)",54059,507
"Page County, Iowa(7,8)",19145,506.9
"Stone County, Mississippi(6,10)",28131,506.8
"Lamar County, Georgia(7,9)",13171,506.7
"Clay County, Nebraska(6,10)",31035,506.7
"Wayne County, New York(6,10)",36117,506.7
"Effingham County, Illinois(6,10)",17049,506.6
"Harrison County, West Virginia(6,10)",54033,506.6
"Macomb County, Michigan(7,8)",26099,506.5
"Fulton County, Illinois(6,10)",17057,506.5
"Clark County, Missouri(6,10)",29045,506.4
"Pike County, Mississippi(6,10)",28113,506.1
"Greene County, Iowa(7,8)",19073,506.1
"Union County, Illinois(6,10)",17181,506
"Albany County, New York(6,10)",36001,505.9
"Logan County, Illinois(6,10)",17107,505.7
"Greene County, New York(6,10)",36039,505.7
"Richland County, Illinois(6,10)",17159,505.5
"Atlantic County, New Jersey(7,8)",34001,505.5
"Madison County, New York(6,10)",36053,505.4
"Mason County, Washington(7,8)",53045,505.4
"Larue County, Kentucky(7,9)",21123,505.2
"Shiawassee County, Michigan(6,10)",26155,505 #  
"Barnstable County, Massachusetts(6,10)",25001,505
"Petroleum County, Montana(6,10)",30069,504.9
"Vermillion County, Indiana(6,10)",18165,504.9
"Harlan County, Kentucky(7,9)",21095,504.8
"Muscogee County, Georgia(7,9)",13215,504.8
"Mercer County, New Jersey(7,8)",34021,504.7
"Duval County, Florida(6,10)",12031,504.4
"Catahoula Parish, Louisiana(7,9)",22025,504.4
"Fulton County, New York(6,10)",36035,504.2
"Caroline County, Virginia(6,10)",51033,503.8
"De Soto Parish, Louisiana(7,9)",22031,503.8
"Dallas County, Alabama(6,10)",1047,503.7
"Carroll County, Kentucky(7,9)",21041,503.6
"Tioga County, New York(6,10)",36107,503.6
"Orange County, Virginia(6,10)",51137,503.5
"Orange County, New York(6,10)",36071,503.5
"Minnehaha County, South Dakota(6,10)",46099,503.1
"Scioto County, Ohio(6,10)",39145,503
"Grant County, Arkansas(6,10)",5053,502.9
"White County, Illinois(6,10)",17193,502.9
